Sample_Type,Genes,Ct
CRC,GDF15,27.77
CRC,GDF15,28.37
CRC,GDF15,30.91
CRC,GDF15,24.95
CRC,GDF15,40
CRC,GDF15,40
CRC,GDF15,30.2
CRC,GDF15,40
CRC,GDF15,40
CRC,GDF15,40
CRC,GDF15,29.27
CRC,GDF15,28.7
CRC,GDF15,40
CRC,GDF15,27.94
CRC,GDF15,40
CRC,GDF15,24.81
CRC,GDF15,40
CRC,GDF15,40
CRC,GDF15,40
CRC,GDF15,40
CRC,GDF15,40
CRC,GDF15,40
CRC,GDF15,40
CRC,GDF15,40
CRC,GDF15,40
CRC,GDF15,40
CRC,GDF15,27.63
CRC,GDF15,40
CRC,GDF15,28.6
CRC,GDF15,27.12
AA,GDF15,29.02
AA,GDF15,40
AA,GDF15,40
AA,GDF15,27.09
AA,GDF15,40
AA,GDF15,40
AA,GDF15,40
AA,GDF15,40
AA,GDF15,40
AA,GDF15,40
AA,GDF15,40
AA,GDF15,40
AA,GDF15,40
AA,GDF15,40
AA,GDF15,40
AA,GDF15,30.29
AA,GDF15,40
AA,GDF15,40
AA,GDF15,40
AA,GDF15,40
AA,GDF15,40
AA,GDF15,40
AA,GDF15,40
AA,GDF15,40
AA,GDF15,40
AA,GDF15,40
AA,GDF15,40
AA,GDF15,40
Col_Neg,GDF15,40
Col_Neg,GDF15,40
Col_Neg,GDF15,40
Col_Neg,GDF15,40
Col_Neg,GDF15,40
Col_Neg,GDF15,40
Col_Neg,GDF15,40
Col_Neg,GDF15,40
Col_Neg,GDF15,40
Col_Neg,GDF15,40
Col_Neg,GDF15,40
Col_Neg,GDF15,40
Col_Neg,GDF15,40
Col_Neg,GDF15,40
Col_Neg,GDF15,40
Col_Neg,GDF15,40
Col_Neg,GDF15,40
Col_Neg,GDF15,40
CON,GDF15,40
CON,GDF15,40
CON,GDF15,40
CON,GDF15,40
CON,GDF15,40
CON,GDF15,40
CON,GDF15,40
CON,GDF15,40
CON,GDF15,40
CON,GDF15,40
CON,GDF15,40
CON,GDF15,40
CON,GDF15,40
CON,GDF15,40
CON,GDF15,26.86
CON,GDF15,40
CON,GDF15,40
CON,GDF15,40
CON,GDF15,40
CON,GDF15,40
CON,GDF15,40
CON,GDF15,40
CON,GDF15,40
CON,GDF15,40
CON,GDF15,40
CON,GDF15,40
CON,GDF15,40
CON,GDF15,26.97
CON,GDF15,40
CON,GDF15,40
CON,GDF15,40
CON,GDF15,40
CON,GDF15,40
CON,GDF15,40
CON,GDF15,40
CRC,ETV4,31.32
CRC,ETV4,33.23
CRC,ETV4,40
CRC,ETV4,30.89
CRC,ETV4,32.96
CRC,ETV4,40
CRC,ETV4,28.83
CRC,ETV4,37.06
CRC,ETV4,37.11
CRC,ETV4,35.22
CRC,ETV4,32.41
CRC,ETV4,36.07
CRC,ETV4,36.49
CRC,ETV4,35.59
CRC,ETV4,33.17
CRC,ETV4,40
CRC,ETV4,32.59
CRC,ETV4,34.02
CRC,ETV4,29.27
CRC,ETV4,37.05
CRC,ETV4,40
CRC,ETV4,27.03
CRC,ETV4,32.89
CRC,ETV4,30.97
CRC,ETV4,35.72
CRC,ETV4,36.01
CRC,ETV4,36.05
CRC,ETV4,40
CRC,ETV4,36.85
CRC,ETV4,31.55
CRC,ETV4,40
CRC,ETV4,33.68
CRC,ETV4,30.2
AA,ETV4,40
AA,ETV4,40
AA,ETV4,37.07
AA,ETV4,32.15
AA,ETV4,36.24
AA,ETV4,40
AA,ETV4,36.69
AA,ETV4,40
AA,ETV4,36.55
AA,ETV4,40
AA,ETV4,37.21
AA,ETV4,37.49
AA,ETV4,34.81
